verse|context
24:40|Or, they are like darkness upon a deep sea covered with a wave above which is another wave, above which are clouds, darkness piled one upon the other; when he stretches out his hand he can scarcely see it. Indeed, to whomsoever Allah assigns no light, he shall have no light.
24:41|Have you not seen how Allah is exalted by those in the heavens and earth, and the birds with outspread wings? He knows its prayers and its exaltations and Allah has knowledge of the things they do.
24:42|To Allah belongs the Kingdom of the heavens and the earth. To Him is the arrival.
24:43|Have you not seen how Allah drives the clouds, then gathers them and converts them into a mass, then you see rain coming from the midst of them? And He sends down out of heaven mountains in which there is hail, pelting with it whom He will, and turning it away from whom He will. The flash of its lightning almost snatches away the sight.
24:44|Allah turns about the night and the day (to succeed one another); surely, in this there is a lesson for those who have eyes.
24:45|Allah created everything that walks from water. Some creep upon their bellies, others walk on two feet, and others walk on four. Allah creates whatever He will. Allah is Powerful over everything.
24:46|We have sent down clarifying verses. Allah guides whom He will to a Straight Path.
24:47|They say: 'We believe in Allah and the Messenger and obey' But a party of them turn away after this. Those are not believers.
24:48|And when they are called to Allah and His Messenger so that he judges between them, a party of them swerve away.
24:49|If the right is theirs, they would have hastened to him obediently.
24:50|Is there a sickness in their hearts, or, are they in doubt? Do they fear that Allah and His Messenger will be unjust? No, but those they are the harmdoers.
24:51|But when the believers are called to Allah and His Messenger, in order that he judges between them, their reply is: 'We hear and obey' Such are theprosperous.
24:52|Those who obey Allah and His Messenger, and fear Allah, and have awe of Him, shall be the winners.
24:53|They swear by Allah in the most earnest oaths, that if you order them, they would go forth. Say: 'Do not swear, known obedience (is better). Allah is Aware of the things you do'
24:54|Say: 'Obey Allah and obey the Messenger. If you turn away, upon him only rests what is laid upon him, and upon you rests what is laid on you. If you obey him, you shall be guided. It is only for the Messenger to deliver a clear message'
24:55|Allah has promised those of you who believe and do good works that He will indeed make them successors in the land as He made those who were before them successors, and that He will indeed establish their religion for them; that which He has approved for them, and will exchange safety for them after their fear. They worship Me and associate nothing with Me. After that, those who disbelieve are the impious.
24:56|Establish the prayers, pay the charity, and obey the Messenger, in order to have mercy.
24:57|Never think that the unbelievers will be able to frustrate (Us) in the earth. Their refuge is the Fire, an evil arrival.
24:58|Believers, let those your right hand owns and those who have not come of age ask permission of you three times before the dawn prayer, when you put aside your garments, in the heat of noon, and after the night prayer. These are the three occasions of privacy. There is no fault in you or them, apart from these, that they go about you, you are of each other. As such Allah makes plain to you His verses, Allah is the Knower, the Wise.
24:59|And when children reach the age of puberty, let them ask permission as those before them asked permission. As such Allah makes clear to you His verses. Allah is the Knower, the Wise.
24:60|(As for) women that are past childbearing who have no hope of marriage there is no fault in them that they discard their cloaks provided they do not reveal their adornments, but it is better if they abstain. Allah is the Hearer, the Knower.
24:61|It shall be no fault for the blind, the lame, the sick and yourselves to eat from your houses. Nor the houses of your fathers', your mothers', your brothers', your sisters', your paternal uncles, your paternal aunts, your maternal uncles, your maternal aunts or in houses the keys of which you own, or in those of your friend, there is no fault in you that you all eat together, or separately. When you enter houses, greet (with peace) one another with a salutation from Allah, blessed and good. As such Allah makes clear to you His verses so that you understand.
24:62|The believers are only those who believe in Allah and His Messenger, and who, when gathered with him upon a common matter do not depart till they have asked his permission. Surely, those who ask your permission are those who believe in Allah and His Messenger. When they ask your permission for some of their affairs, grant it to whomever you please and ask Allah for forgiveness for them; Allah is the Forgiver, the Merciful.
24:63|Do not make the calling of the Messenger among yourselves like your calling to one another. Allah knows those of you who slip away surreptitiously, so let those who disobey His command beware, lest they are struck by sedition, or, they are stricken with a painful punishment.
24:64|To Allah belongs all that is in the heavens and the earth. He has Knowledge of what state you are upon. On the Day when they shall be returned to Him, He will tell them all what they have done. And Allah has knowledge of everything.
