42:1 | HaMeem
42:26 | He answers those who believe and do good deeds, and He increases them from His bounty. But for the unbelievers there is a terrible punishment.
42:27 | If Allah had expanded His provision to His worshipers, they would become tyrannical in the earth, but He sends down to them what He will in due measure; He is Aware and sees His worshipers.
42:28 | It is He who sends down rain for them after they despaired, and He unfolds His Mercy. He is the Guardian, the Praised.
42:29 | Among His signs is the creation of the heavens and the earth and the crawling things which He has dispersed in them. If He will, He is Able to gather all of them.
42:30 | If affliction befalls you, it is what your own hands have earned, but He pardons a lot.
42:31 | You are not able to frustrate Him in the earth, nor do you have a guardian and a helper other than Allah.
42:32 | And among His signs are the ships that run on the sea like mountains and
42:33 | if He will, He calms the wind so that they remain motionless upon its back, surely, there are signs in this for every thankful, patient (person).
42:34 | Or, He wrecks them for what they have earned, but He pardons a lot.
42:35 | Those who dispute Our verses may know that they have no asylum.
42:36 | That which you have been given is but the enjoyment of the present life. Better and more enduring is that which Allah has for those who believe and put their trust in their Lord.
42:37 | And those who avoid the major sins and indecencies and, when angered, forgive;
42:38 | those who answer their Lord, establish the prayers, and their affairs are by consultation; who spend of that which We have given them,
42:39 | and when harmed they become victorious.
42:40 | The recompense of a sin is a sin like it, but whosoever forgives and seeks to reform, his wage will be with Allah. Surely, He does not love the harmdoers.
42:41 | And whosoever harms after he has been harmed there is no blame upon them.
42:42 | The blame is only against those who wrong people, and are wrongfully insolent in the earth, for them there is a painful punishment.
42:43 | Surely, he who bears patiently and forgives indeed that is true constancy.
42:44 | He whom Allah leads astray has none to protect him thereafter. You will see the harmdoers when they see the punishment saying: 'Is there a way back'
42:45 | You shall see them exposed before it, humbled in shame and looking upon it with a furtive glance and the believers will say: 'Indeed, the losers are they who lose themselves and their families on the Day of Resurrection' The harmdoers shall suffer an everlasting punishment.
42:46 | They shall have none to protect or help them other than Allah. He whom Allah leads astray there is no way for him.
42:47 | Answer your Lord before that Day arrives which cannot be turned back from Allah, for you on that Day there shall be neither shelter, nor denial.
42:48 | But if they turn away, We have not sent you (Prophet Muhammad) to be their (compulsory) guardian. It is only for you to deliver (the Message). When We give the human a taste of Our Mercy, he rejoices because of it; but when, because of what he has earned, evil befalls him, the human is ungrateful.
42:49 | To Allah belongs the Kingdom of the heavens and the earth. He creates what He will. He gives females to whom He will and males to whom He will.
42:50 | Or, He couples them, both males and females, and to others, if He will, He makes them barren. Surely, He is the Knower, the Powerful.
42:51 | It does not belong to any human that Allah should speak to him except by Revelation, or from behind a veil, or that He sent a Messenger to revealwhatsoever He will by His Permission. He is the High, the Wise.
42:52 | As such We have revealed to you (Prophet Muhammad) a spirit (the revelation of the Koran) from Our Ordinance. You did not know what the Book was, nor belief, but We made it a light whereby We guide those of Our worshipers whom We will. And you (Prophet Muhammad), you, surely guide to a Straight Path.
42:53 | The Path of Allah, to whom belongs all that is in the heavens and all that is in the earth. Surely, to Allah all things return.
