21:1 | The Reckoning for mankind is drawing near, yet they are heedless and turn away.
21:85 | And Ishmael, Idris, and ThulKifl (the son of Job) each were patient.
21:86 | We admitted them to Our Mercy, for they were of the righteous.
21:87 | And ThulNun (Prophet Jonah), he went away in anger thinking We had no power over him. But in the darkness he cried: 'There is no god except You. Exaltations to You! I was among the harmdoers'
21:88 | We heard his prayer and saved him from grief. As such We shall save the believers.
21:89 | And Zachariah when he called to his Lord saying: 'Lord, do not let me remain by myself; You are the Best of inheritors'
21:90 | So We answered him, and gave him John, curing his wife (of sterility). They raced with each other in good works and called on Us out of yearning and awe, and they were humble to Us.
21:91 | And she (Mary) who guarded her virginity. We breathed into her of Our spirit (Gabriel), and made her and her son a sign for the worlds.
21:92 | Indeed, this nation of yours is one nation, and I am Your Lord, therefore worship Me.
21:93 | But they (the Christians and Jews) split their affair between them all shall return to Us.
21:94 | The endeavors of he who believes and does good works shall not go unthanked. We write it down for him.
21:95 | (It is ordained that) no village We have destroyed shall return
21:96 | till Gog and Magog are let loose and slide down out of every slope;
21:97 | when the true promise draws near; the eyes of the unbelievers will stare (and they will say): 'Alas for us! Of this we have been heedless. We have beenharmdoers'
21:98 | You and all those who you were worshipping, other than Allah, shall be the fuel of Gehenna; there you shall all go down to it.
21:99 | If those had been gods, they would never have gone down to it, but in it they shall live for ever.
21:100 | There is groaning for them therein, and they do not hear.
21:101 | But those whom We have surpassed with the finest (rank) from Us shall be far removed from it,
21:102 | neither shall they hear any of its whisper, but shall live for ever in that their souls desired.
21:103 | The greatest terror shall not grieve them, and the angels will receive them: 'This is the Day you have been promised'
21:104 | On that Day, We shall roll up the heaven like a written scroll is rolled. As We originated the first creation, so will We bring it back again. This is a binding promise on Us which We shall assuredly fulfill.
21:105 | We have written in the Psalms, after the Remembrance: 'The righteous among My worshipers shall inherit the earth'
21:106 | Surely, in this is a proclamation to a worshiping nation.
21:107 | We have not sent you (Prophet Muhammad) except as a mercy to all the worlds.
21:108 | Say: 'It is revealed to me that your God is One God, do you then surrender'
21:109 | If they turn back, say: 'I have warned you all alike, though I cannot tell whether what you are promised is imminent or distant.
21:110 | He knows your spoken words and what you hide.
21:111 | And I do not know if this is a trial for you and an enjoyment for a time'
21:112 | He said: 'My Lord, judge in truth. Our Lord is the Merciful whose help is ever to be sought against what you describe'
