22:1 | O people, have fear of your Lord. The earthquake of the Hour shall be a great thing.
22:60 | So shall it be. He who punishes after the manner that he was punished and then again is oppressed, shall be helped by Allah. Allah is Pardoning, Forgiving.
22:61 | That is because Allah causes the night to enter into the day, and the day enter into the night. Allah is the Hearer and the Seer.
22:62 | That is because Allah is the Truth, and falsehood is all that they call upon, other than Him. Allah is the Most High, the Most Great.
22:63 | Do you not see that Allah sends down water from the sky and in the morning the earth becomes green? Allah is Subtle, the Aware.
22:64 | To Him belong all that is in the heavens and earth, surely, Allah is the Rich, the Praised.
22:65 | Do you not see that Allah has subjected to you all that is on the earth, and the ships which run upon the sea by His command? He holds the sky back lest it should fall upon the earth except by His permission. Allah is Gentle to people, the Most Merciful.
22:66 | It is He who revives you, then He will cause you to die and then He revives you. Indeed, the human is ungrateful.
22:67 | For every nation We have appointed a Holy Rite which they shall perform. Do not let them dispute with you concerning the matter. Call to your Lord; surely, you are upon a Straight Path.
22:68 | If they argue with you, say: 'Allah knows best all that you do.
22:69 | On the Day of Resurrection, Allah will judge between you concerning that in which you vary.
22:70 | Are you not aware that Allah has knowledge of what is in the heaven and earth? This is (recorded) in a Book. That is easy for Allah.
22:71 | Yet they worship that for which He did not send down authority, and that of which they have no knowledge. Indeed, the harmdoers shall have no helpers.
22:72 | When Our clear verses are recited to them, you will recognize denial upon the faces of the unbelievers. They nearly rush upon those who recite Our verses to them. Say: 'Shall I tell you what is worse than that' The Fire which Allah has promised those who disbelieve an evil arrival'
22:73 | People, this is a parable, listen to it. Those whom you call upon, other than Allah, could never create a fly, though they banded together to do this. And if a fly robs them of anything, they could never rescue it from it. The seeker and the sought are alike in their weakness.
22:74 | They do not value Allah as He should be valued. For Allah is Powerful and Mighty.
22:75 | Allah chooses Messengers from angels and from people. Allah is the Hearer, the Seer.
22:76 | He knows what is before them and behind them. To Allah all things are returned.
22:77 | O you who believe, bow down and prostrate yourselves. Worship your Lord and do good, in order that you prosper.
22:78 | Struggle for Allah as is due to Him. He has chosen you and has not laden a burden upon you in your religion, being the Creed of Abraham your father. He has named you Muslims before and in this so that the Messenger (Muhammad) can be a witness for you, and in order that you be witnesses against mankind. Therefore, establish the prayer and pay the obligatory charity and hold fast to Allah. He is your Guardian, the Excellent Guardian, the Excellent Helper!
