19:1 | KaafHaYa'aeenSaad.
19:65 | Lord of the heavens and the earth and all that is between them, so worship Him, be patient in His worship. Do you know any that can be named with His Name'
19:66 | The human says: 'What, when I am dead, shall I be raised to life'
19:67 | Will the human not remember that We created him before when he was not a thing.
19:68 | By your Lord, We will gather them and the satans, and We shall parade them hobbling on their knees in Gehenna:
19:69 | from every party We will pluck out whichever of them was the most hardened in disdain of the Most Merciful.
19:70 | We alone know who deserves most to be burned therein.
19:71 | There is not one of you who shall not go down to it: such is a thing decreed, determined by your Lord.
19:72 | Then, We will save those who were cautious of Us, but the harmdoers shall be left there hobbling on their knees.
19:73 | When Our clear verses are recited to them the unbelievers say to the believers: 'Which of the two parties has a better position or company'
19:74 | How many generations have We destroyed before them, who were far greater in riches and more boastful!
19:75 | Say: 'Whosoever is in error, let the Most Merciful prolong his life span until they see that which they were threatened, be it a punishment, or the Hour. Thenshall they know whose is the worst place and who is weaker in hosts'
19:76 | Allah will increase those who were guided in guidance and things that abide. Good deeds are better in reward with your Lord, and, better in return.
19:77 | Have you seen he who disbelieves Our verses and yet says: 'I shall surely be given wealth and children'
19:78 | Has he gained knowledge of the Unseen? Or taken a covenant with the Merciful?
19:79 | On the contrary, We will write down what he says and prolong the length of his punishment.
19:80 | We shall inherit that of which he speaks and he will come before Us alone.
19:81 | And they have taken gods, other than Allah, that they might be a power from them.
19:82 | Indeed no! They will renounce their worship and turn against them.
19:83 | Have you not seen how We send down to the unbelievers satans who prick them?
19:84 | Therefore, do not hasten (things) against them, for We count out to them a number,
19:85 | and on the Day when We will ceremonially gather the righteous to the Merciful,
19:86 | and drive the evildoers as herds, into Gehenna
19:87 | who have no power of intercession, except those who have taken a covenant with the Merciful.
19:88 | And they say: 'The Merciful has taken a son'
19:89 | Surely, you have brought a monstrous thing!
19:90 | Thereby the heavens are nearly torn and the earth split asunder, and mountains fall crashing down
19:91 | because they have ascribed a son to the Merciful.
19:92 | It is not for the Merciful to take a son!
19:93 | There is none in the heavens and earth except he comes to the Merciful as a worshiper.
19:94 | He has counted them and exactly numbered all;
19:95 | and each one shall come to Him on the Day of Resurrection, alone.
19:96 | Those who believe and do righteous deeds, the Merciful will assign for them love.
19:97 | We have made it easy in your own tongue in order that you proclaim the glad tidings to the cautious and give warning to a stubborn nation.
19:98 | How many generations have We destroyed before them! Do you sense even one of them, or hear a whisper from them?
