30:1 | AlifLaamMeem.
30:44 | Those who disbelieve will be charged for their disbelief, while the righteous are making provision for themselves
30:45 | so that He will recompense those who believe and do righteous deeds from His bounty. He does not love the unbelievers.
30:46 | And of His signs is that He looses the winds as bearers of glad tidings, so that He lets you taste His Mercy and that the ships may sail at His command in order that you can seek His bounty and be thankful.
30:47 | Before you We sent other Messengers to their people; and they came with clear signs. We took revenge upon the sinners, and it was an incumbent duty upon Us to give victory to the believers.
30:48 | It is Allah who looses the winds that stir the clouds. He spreads them as He will in heaven and disperses them, so that you can see the rain falling from their midst. When He smites with it whom He will of His worshipers they rejoice,
30:49 | though before its coming they had despaired.
30:50 | Look then at the marks of Mercy of Allah; how He revives the earth after its death. He is the Reviver of the dead. He has power over all things.
30:51 | Yet if We sent a wind so they see it yellow, indeed after that they would still be unbelievers.
30:52 | You cannot make the dead hear you, nor can you make the deaf hear the call when they retreat, turning about.
30:53 | You cannot guide the blind out of their error. Nor shall you make any to hear except those who believe in Our verses, and are submissive.
30:54 | Allah creates you weak; after weakness He gives you strength and after strength weakness and gray hairs. He creates whatever He will. He is the Knower, the Capable.
30:55 | Upon the Day when the Hour has come, the harmdoers will swear that they had stayed no more than an hour. As such they are deceived.
30:56 | But those to whom knowledge and belief have been given will say: 'You have stayed in the Book of Allah (the Protected Tablets) till the Day of Resurrection. This is the Day of Resurrection, yet you did not know'
30:57 | On that Day, excuses shall not benefit the harmdoers, nor shall they be asked to make amends.
30:58 | In this Koran We have set forth for mankind all manner of examples. Yet if you bring to them a sign the unbelievers will surely say: 'You are but falsifiers'
30:59 | As such Allah seals the hearts of those who do not know.
30:60 | Therefore, have patience. The promise of Allah is true. Do not let those who are uncertain make you unsteady.
